language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,APF,run,scalar,double,O3,48000,128,1,1,50,260000,262,0.10160720799999999,390.79695384615383,384.875,399.35409999999996,14.47909999999996,3.7050186439528878,3.0531012019230768,3.0531012019230768,327535818.12817848,332575511.52971745,320517555.72310394,327535818.12817848,332575511.52971745,320517555.72310394,8.2560000250014127
cpp,APF,run,vec,double,O3,48000,128,1,1,50,210000,210,0.102589878,488.52322857142855,485.55840000000001,491.98750000000001,6.4291000000000054,1.3160274934726028,3.8165877232142855,3.8165877232142855,262014153.09217933,263614016.35724971,260169211.61614877,262014153.09217933,263614016.35724971,260169211.61614877,8.2560000250014127
mojo,APF,run,scalar,double,O3,48000,128,1,1,50,320000,323,0.10036600000012186,313.6437500003808,311.4999999979773,322.0000000055734,10.5000000075961,3.3477472475008194,2.450341796877975,2.450341796877975,408106330.8286698,410914927.7715286,397515527.9434301,408106330.8286698,410914927.7715286,397515527.9434301,8.256000025001413
mojo,APF,run,vec,double,O3,48000,128,1,1,50,320000,326,0.09900599999900805,309.39374999690017,307.99999999544525,311.60000003183086,3.600000036385609,1.163565856266223,2.4171386718507826,2.4171386718507826,413712300.2687754,415584415.59056133,410783055.1570103,413712300.2687754,415584415.59056133,410783055.1570103,8.256000025001413
cpp,HPF,run,scalar,double,O3,48000,128,1,1,50,260000,269,0.098186041000000002,377.63861923076922,374.9708,380.94580000000002,5.9750000000000227,1.582200467783405,2.9503017127403846,2.9503017127403846,338948384.73016751,341359913.89196169,336005804.50027275,338948384.73016751,341359913.89196169,336005804.50027275,-1.8953869584947824e-09
cpp,HPF,run,vec,double,O3,48000,128,1,1,50,210000,214,0.10097129199999999,480.81567619047621,477.52089999999998,483.00420000000003,5.4833000000000425,1.140416228406792,3.7563724702380954,3.7563724702380954,266214281.97630671,268051094.72695333,265008047.54906893,266214281.97630671,268051094.72695333,265008047.54906893,-1.8953869584947824e-09
mojo,HPF,run,scalar,double,O3,48000,128,1,1,50,330000,332,0.10124799999994138,306.8121212119437,305.60000000150467,308.3000000060565,2.700000004551839,0.8800173845435194,2.39696969696831,2.39696969696831,417193426.0432251,418848167.53720474,415180019.4534073,417193426.0432251,418848167.53720474,415180019.4534073,-1.8953869584947824e-09
mojo,HPF,run,vec,double,O3,48000,128,1,1,50,290000,295,0.09928899999977148,342.3758620681776,340.59999998135027,345.9000000020751,5.300000020724838,1.5480063310273446,2.6748114224076374,2.6748114224076374,373858131.31450045,375807398.7287396,370049147.1501362,373858131.31450045,375807398.7287396,370049147.1501362,-1.8953869584947824e-09
cpp,LPF,run,scalar,double,O3,48000,128,1,1,50,270000,275,0.099542332000000011,368.67530370370372,366.24160000000001,370.54579999999999,4.3041999999999803,1.1674771694116979,2.8802758101851853,2.8802758101851853,347188972.82816315,349496070.35355896,345436380.60396314,347188972.82816315,349496070.35355896,345436380.60396314,8.2560000480734743
cpp,LPF,run,vec,double,O3,48000,128,1,1,50,210000,217,0.098975291000000021,471.31090952380953,467.80410000000001,475.66250000000002,7.8584000000000174,1.6673494801849116,3.6821164806547619,3.6821164806547619,271582934.77510458,273618807.53075916,269098362.80976534,271582934.77510458,273618807.53075916,269098362.80976534,8.2560000480734743
mojo,LPF,run,scalar,double,O3,48000,128,1,1,50,330000,339,0.09896000000026106,299.878787879579,297.09999998885905,302.49999999796273,5.400000009103678,1.800727569724649,2.342803030309211,2.342803030309211,426839126.91884166,430831369.92527723,423140495.87061834,426839126.91884166,430831369.92527723,423140495.87061834,8.256000048073474
mojo,LPF,run,vec,double,O3,48000,128,1,1,50,300000,300,0.10064499999998588,335.4833333332863,331.9999999803258,339.30000004147587,7.300000061150058,2.1759650438127323,2.620963541666299,2.620963541666299,381539072.97933716,385542168.6975459,377247273.75288343,381539072.97933716,385542168.6975459,377247273.75288343,8.256000048073474
cpp,bandfilter,run,scalar,double,O3,48000,128,1,1,50,270000,277,0.098334083000000017,364.20030740740742,360.71249999999998,366.41250000000002,5.7000000000000455,1.5650728140720165,2.8453149016203705,2.8453149016203705,351454947.72143239,354853241.84773195,349333060.41687983,351454947.72143239,354853241.84773195,349333060.41687983,8.2560000285739079
